,MenuItemId,MenuCategoryId,Name,Description,Price,Likes,UserLiked,Image
0,fd0484cd-7faa-44a9-b156-5db089c86316,e8c79b79-bf2e-437c-bc31-03ea9466b65a,دیزی مخصوص بهار,,۹۳۰۰۰ تومان ,0,False,
1,b5ef8a5d-46fb-40df-b957-7f042722048e,e8c79b79-bf2e-437c-bc31-03ea9466b65a,دیزی بز باش,,۱۱۰۰۰۰ تومان ,0,False,
2,be51d581-7353-4382-a30e-a71e3901ff21,e8c79b79-bf2e-437c-bc31-03ea9466b65a,دیزی ممتاز بهار,,۱۳۹۰۰۰ تومان ,1,False,
3,8a1a86c2-efce-434e-947e-f6418ed5351a,e8c79b79-bf2e-437c-bc31-03ea9466b65a,دیزی اقتصادی بهار,,۸۹۰۰۰ تومان ,0,False,
4,ca302ba4-d88c-4647-97af-dc6b6368a836,3cd68ad0-6f9c-4c27-b9e4-127da7dccff7,ترشی هفته بیجار,,۱۱۰۰۰ تومان ,0,False,
5,f6f0e6d8-83c7-4f84-8acf-df428c099594,3cd68ad0-6f9c-4c27-b9e4-127da7dccff7,سیرترشی خانگی,,۱۲۰۰۰ تومان ,0,False,
6,58e68e03-1c55-4a78-8d1f-64d4cb0905c9,1824df59-724e-40bf-9d4a-5b664b7e96e7,سوسیس و تخم مرغ,,۳۷۰۰۰ تومان ,0,False,
7,59d84262-e4df-46d1-9dbc-7959432d0294,1824df59-724e-40bf-9d4a-5b664b7e96e7,املت,,۲۹۹۰۰ تومان ,0,False,
8,764b3b7c-29e1-4f39-a510-a455a95065d2,1824df59-724e-40bf-9d4a-5b664b7e96e7,املت با گوجه و کره,,۳۶۰۰۰ تومان ,0,False,
9,61eafdb4-8952-4a9b-bb2e-ba1b9f01754c,1824df59-724e-40bf-9d4a-5b664b7e96e7,نیمرو,,۲۷۹۰۰ تومان ,0,False,
10,7104953e-4393-4beb-a1df-f41d19be5eaa,44f6b6d7-8270-47f3-88f7-61a20094ceca,کباب تابه ای,,42000 تومان ,0,False,
11,41861661-6c23-41dc-a7b2-6c5d4520ffea,7aca36d1-eade-4663-bf41-b9ed34d6961c,کباب تابه ای,,۵۹۰۰۰ تومان ,0,False,
12,97604e37-e976-435f-854f-79a1d73e7e29,7aca36d1-eade-4663-bf41-b9ed34d6961c,کباب تابه ای با تخم مرغ عسلی,,۶۵۰۰۰ تومان ,0,False,
13,e9d9cc24-33e2-449b-8560-595f676f4f22,3cd68ad0-6f9c-4c27-b9e4-127da7dccff7,ماست ساده,250 گرمی,26000 تومان ,0,False,
14,f34f30d2-dd7c-4484-9681-a56b395ebda7,3cd68ad0-6f9c-4c27-b9e4-127da7dccff7,سالاد مخصوص سیدجلال,ترکیب ترشی سالادیونانی و سالادفصل و سس مخصوص سیدجلال,41000 تومان ,0,False,
15,e4bf6540-8b10-4365-b555-c71afafe4153,3cd68ad0-6f9c-4c27-b9e4-127da7dccff7,زیتون پرورده مخصوص,250گرم,41000 تومان ,0,False,
16,426696ee-afa3-4143-8ef6-d1ccf6036ab1,3cd68ad0-6f9c-4c27-b9e4-127da7dccff7,ماست و خیار,.,28000 تومان ,0,False,
17,2961e8a9-c0c9-4b6b-bcb0-d43fac18d0a1,3cd68ad0-6f9c-4c27-b9e4-127da7dccff7,ماست موسیر محلی,250گرم ماست چکیده موسیر,32000 تومان ,0,False,
18,a4167b2c-a3a4-4d99-b0cf-dc6857c9f2ab,3cd68ad0-6f9c-4c27-b9e4-127da7dccff7,سالاد شیرازی,.,28000 تومان ,0,False,
19,1d1074b4-42f4-4ed4-a4c3-14c0f6b8ff30,03f49e2a-7428-4e2f-9d7b-290473a14d56,چلوخورشت قیمه سیب زمینی,400 گرم برنج  300گرم خورشت ته دیگ,120000 تومان ,0,False,
20,13085b06-f292-45c8-aeca-1bbec771b874,03f49e2a-7428-4e2f-9d7b-290473a14d56,خورشت فسنجان با گوشت,300 گرم خورشت بدون برنج,120000 تومان ,0,False,
21,e6befda1-3755-49d4-85c3-3c1668e50c40,03f49e2a-7428-4e2f-9d7b-290473a14d56,چلو خورشت فسنجان با مرغ,300 گرم خورشت  با تکه های مرغ سینه400 گرم برنج تهدیگ,152000 تومان ,0,False,
22,bad66be0-19d6-4f35-9269-477d64f020dc,03f49e2a-7428-4e2f-9d7b-290473a14d56,چلو خورشت قیمه بادمجان,400 گرم برنج  300گرم خورشت ته دیگ بادمجان,120000 تومان ,0,False,
23,2382c5ed-7749-43ab-973a-70f6df1db0bd,03f49e2a-7428-4e2f-9d7b-290473a14d56,قیمه میکس مخصوص سیدجلال,کاملا 2 الی 3 نفره یک ظرف ته چین و یک ظرف چلو به همراه خورشت قیمه سیب زمینی و بادمجان,333000 تومان ,0,False,
24,3f12a7ac-8410-4422-90ff-9d3574e04c5c,03f49e2a-7428-4e2f-9d7b-290473a14d56,چلو خورشت قورمه سبزی,400 گرم برنج  300گرم خورشت ته دیگ,120000 تومان ,0,False,
25,bbfc42d1-af44-40f0-9505-a5ff4a0c427e,03f49e2a-7428-4e2f-9d7b-290473a14d56,خورشت فسنجان با مرغ,300 گرم خورشت بدون برنج با تکه های مرغ سینه,110000 تومان ,0,False,
26,357434fd-81da-40d1-8805-ac6f7ede6602,03f49e2a-7428-4e2f-9d7b-290473a14d56,خورشت قیمه بادمجان,300گرم خورشت قیمه بادمجان,92000 تومان ,0,False,
27,fc8c6bf2-fdeb-429f-a5e9-c0a98ad754bb,03f49e2a-7428-4e2f-9d7b-290473a14d56,خورشت قیمه سیب زمینی,300گرم خورشت قیمه سیب زمینی بدون برنج,92000 تومان ,0,False,
28,e287abb5-c39a-4dd4-8179-c59520fffa2c,03f49e2a-7428-4e2f-9d7b-290473a14d56,چلو خورشت کرفس,400 گرم برنج  300گرم خورشت ته دیگ,120000 تومان ,0,False,
29,a3e77100-58ab-451e-8d85-cf47e2fece89,03f49e2a-7428-4e2f-9d7b-290473a14d56,خورشت قورمه سبزی,300 گرم خورشت,92000 تومان ,0,False,
30,1fa34010-abd9-4040-8dad-df020ca4e11b,03f49e2a-7428-4e2f-9d7b-290473a14d56,چلو خورشت فسنجان با گوشت قلقلی,300 گرم خورشت 400 گرم برنج تهدیگ,163000 تومان ,0,False,
31,03290c84-9054-459a-aa81-fa096f47fcfe,03f49e2a-7428-4e2f-9d7b-290473a14d56,خورشت کرفس,300گرم خورشت,92000 تومان ,0,False,
32,0376f60f-cdec-4004-96c1-1f949d783008,2033ceff-ad00-43c3-b7af-5bdba535da15,کشک بادمجان(300گرمی),300 گرم کشک بادمجان به همراه تزیینات,90000 تومان ,0,False,
33,93187423-d103-435a-b424-22fb2a895bf7,2033ceff-ad00-43c3-b7af-5bdba535da15,کتف کبابی,8عدد کتف سیب زمینی گوجه فلفل,157000 تومان ,0,False,
34,f262b056-1bb7-4c7e-b8fd-2a7300cf40b8,2033ceff-ad00-43c3-b7af-5bdba535da15,خوراک ماهی قزل آلا,ماهی کامل قزل سیب زمینی برنج زعفرانی تهدیگ,140000 تومان ,0,False,
35,b135256c-8a4e-4d12-b7d1-56798c5885ba,2033ceff-ad00-43c3-b7af-5bdba535da15,کشک بادمجان 1 کیلویی,.1 کیلو کشک بادمجان به همراه تزیینات مخصوص مهمانی,240000 تومان ,0,False,
36,9595cb1d-6bbd-4e30-93a4-642a2983ab3d,2033ceff-ad00-43c3-b7af-5bdba535da15,خوراک کباب لقمه نگین دار,350 گرم لقمه نگین دار گوجه فلفل ته دیگ و سیب زمینی,179000 تومان ,0,False,
37,fb91c4fc-ee20-4741-bf3a-66b59f2b1cb6,2033ceff-ad00-43c3-b7af-5bdba535da15,سیب زمینی سرخ کرده,-,60000 تومان ,0,False,
38,066e59b6-4d07-464c-9130-70dec280f35e,2033ceff-ad00-43c3-b7af-5bdba535da15,خوراک کباب میکس مخصوص با جوجه سینه,300 گرم جوجه سینه 160گرم لقمه گوجه فلفل ته دیگ و سیب زمینی,195000 تومان ,0,False,
39,2cb91683-a3ff-4afb-bdae-766d60e34e85,2033ceff-ad00-43c3-b7af-5bdba535da15,میرزا قاسمی 1کیلویی,1 کیلو میرزاقاسمی با تزیینات مخصوص مهمانی,260000 تومان ,0,False,
40,fc4e7299-a1ea-4d68-8db4-7c3105a9ffe8,2033ceff-ad00-43c3-b7af-5bdba535da15,میرزا قاسمی (300گرمی),300 گرم میرزاقاسمی گوجه,90000 تومان ,0,False,
41,59b57866-22e6-4355-9704-886f3946bd13,2033ceff-ad00-43c3-b7af-5bdba535da15,خوراک کوبیده2سیخ 100 گرمی,2 سیخ 100 گرمی گوجه فلفل ته دیگ سیب زمینی,155000 تومان ,0,False,
42,e41f5bee-b41e-4896-b691-8aa42e207f73,2033ceff-ad00-43c3-b7af-5bdba535da15,سوپ سرآشپز,سوپ جو مخصوص,46000 تومان ,0,False,
43,44c07591-6797-4a1a-aef1-9ff76e6b8d5b,2033ceff-ad00-43c3-b7af-5bdba535da15,خوراک جوجه کباب ران300گرمی,1 سیخ جوجه 300 گرمی سیب زمینی ته دیگ برنج زعفرانی,158000 تومان ,0,False,
44,6dc4c36a-e39b-4399-9852-a2e0a36f7765,2033ceff-ad00-43c3-b7af-5bdba535da15,پاچینی با سیب زمینی,7 تکه کتف سوخاری سیب زمینی,148000 تومان ,0,False,
45,ce3f013b-694b-4a57-8b1a-a4d5172e9d46,2033ceff-ad00-43c3-b7af-5bdba535da15,شنیسل مرغ با سیب زمینی,250 گرم سینه مرغ سیب زمینی,145000 تومان ,0,False,
46,b5123114-ba3d-4c1d-8491-b5a33d66075e,2033ceff-ad00-43c3-b7af-5bdba535da15,خوراک  مرغ,1 عدد ران یا سینه مرغ سیب زمینی بادمجان برنج زعفرانی,138000 تومان ,0,False,
47,6ef1747f-0e6c-4a29-8fc4-b71a404da0d3,2033ceff-ad00-43c3-b7af-5bdba535da15,خوراک جوجه با استخوان,یک سیخ جوجه کباب با استخوان 600 گرمی، برنج زعفرانی، گوجه، فلفل، ته دیگ سیب زمینی,168000 تومان ,0,False,
48,961544ff-42d9-4e9a-8a67-c043d94c0c38,2033ceff-ad00-43c3-b7af-5bdba535da15,خوراک فیله میکس مخصوص سیدجلال,یک سیخ فیله گوساله و یک سیخ جوجه سینه 300گرمی به همراه یک تکه ته چین سیب زمینی و گوجه,305000 تومان ,0,False,
49,4cdbeb6a-525c-4cd9-9691-c0a074c07648,2033ceff-ad00-43c3-b7af-5bdba535da15,خوراک کباب میکس مخصوص با جوجه ران,160گرم کباب لقمه 300گرم جوجه ران به همراه یک تکه ته چین و گوجه و سیب زمینی,199000 تومان ,0,False,
50,e4ce09eb-dc39-4813-b5aa-c90df555e7c0,2033ceff-ad00-43c3-b7af-5bdba535da15,خوراک جوجه کباب سینه300گرمی,1 سیخ جوجه 300 گرمی گوجه فلفل سیب زمینی برنج زعفرانی ته دیگ,155000 تومان ,0,False,
51,43b6c3e3-430d-457d-8010-cb02cd4014b5,2033ceff-ad00-43c3-b7af-5bdba535da15,دیگی کباب با سس قارچ,300 گرم گوشت سیب زمینی سس قارچ,163000 تومان ,0,False,
52,19590cdd-0702-4ef0-bda5-d9940d1dd3fc,2033ceff-ad00-43c3-b7af-5bdba535da15,بال سوخاری  سیب زمینی,10تکه بال سوخاری سیب زمینی گوجه,157000 تومان ,0,False,
53,eb0f6487-e6da-4a27-9f7b-dfedbf8f700e,2033ceff-ad00-43c3-b7af-5bdba535da15,خوراک ماهیچه,500 گرم ماهیچه گوسفندی  سیب زمینی  تهدیگ برنج زعفرانی,320000 تومان ,0,False,
54,b9cd97b1-f05f-42be-a118-e2e5ccf32648,2033ceff-ad00-43c3-b7af-5bdba535da15,گوجه اضافه تک سیخ,3 عدد گوجه کامل,25000 تومان ,0,False,
55,8665366c-aa50-4785-9ff2-e485fb9d9f38,2033ceff-ad00-43c3-b7af-5bdba535da15,لقمه زعفرانی300گرمی (سیخی),,155000 تومان ,0,False,
56,4bb52d94-0b88-404d-b6f1-f08932a98670,2033ceff-ad00-43c3-b7af-5bdba535da15,خوراک لقمه زعفرانی 300 گرمی,300 گرم لقمه گوجه فلفل ته دیگ سیب زمینی,169000 تومان ,0,False,
57,41ac94e5-d5dd-48d0-9d57-f9161337d503,2033ceff-ad00-43c3-b7af-5bdba535da15,بال کبابی (10 تکه ),10 عدد بال سیب زمینی ته دیگ گوجه فلفل برنج زعفرانی,152000 تومان ,0,False,
58,42d968c7-ce98-4985-9de6-017e767f6e29,2ab65f86-582d-464a-ae72-757bc62eebe6,ترشی کلم,.,26000 تومان ,0,False,
59,f1b4c9d4-913a-46c2-b8cc-6f33ecc6d34d,2ab65f86-582d-464a-ae72-757bc62eebe6,شور مخلوط کلم,.,26000 تومان ,0,False,
60,b7b955ae-da67-4f93-929a-0a982a4668d7,49d7679a-af4d-40e8-884e-e64493983345,ته چین با کباب میکس جوجه ران,5 تکه ته چین برنج زعفرانی زرشک 1 سیخ چوچه 1 سیخ کوبیده گوه فلفل سیب زمینی,264000 تومان ,0,False,
61,e636406d-4a8a-405d-abfa-217aaeb4a129,49d7679a-af4d-40e8-884e-e64493983345,ته چین با خورشت کرفس,5 تکه ته چین برنج زعفرانی زرشک به همراه یک ظرف خورشت,160000 تومان ,0,False,
62,14a783b3-a45a-46f5-af78-24aae9c5534a,49d7679a-af4d-40e8-884e-e64493983345,ته چین با کباب فیله میکس,5 تکه ته چین برنج زعفرانی زرشک 1 سیخ جوجه 1 سیخ فیله گوساله گوجه فلفل سیب زمینی,374000 تومان ,0,False,
63,2366c303-ea6e-4f59-81a1-25a036770356,49d7679a-af4d-40e8-884e-e64493983345,ته چین با خورشت فسنجان مرغ,5 تکه ته چین برنج زعفرانی زرشک به همراه یک ظرف خورشت با تکه های مرغ سینه,182000 تومان ,0,False,
64,479200e5-34fa-42cf-980e-3656331bc3b4,49d7679a-af4d-40e8-884e-e64493983345,ته چین با کباب دیگی 300گرمی,5تکه ته چین همراه کباب دیگی و گوجه و مقداری سیب زمینی,221000 تومان ,0,False,
65,446c4efe-7ec7-4db9-89d4-4a132fb82995,49d7679a-af4d-40e8-884e-e64493983345,ته چین با لقمه نگین دار,5 تکه ته چین برنج زعفرانی زرشک 1 سیخ گین دترگوجه و فلف و سیب زمینی,240000 تومان ,0,False,
66,1b809010-30ad-466c-a6b6-60ee237fef42,49d7679a-af4d-40e8-884e-e64493983345,ته چین با جوجه ران 300گرمی,5تکه ته چین به همراه 300گرم جوجه ران گوجه فلفل و مقداری سیب زمینی,225000 تومان ,0,False,
67,a5c3874a-a23b-4987-b2fb-61a5d592d48a,49d7679a-af4d-40e8-884e-e64493983345,ته چین با کباب میکس جوجه سینه,5 تکه ته چین برنج زعفرانی زرشک 1 سیخ جوجه 1 سیخ کوبیده گوجه فلفل سیب زمینی,260000 تومان ,0,False,
68,f1de2761-4c63-42a2-aeb4-658a71686a6e,49d7679a-af4d-40e8-884e-e64493983345,ته چین با مرغ ( ران و سینه ),ته چین  450 گرم برنج زعفرانی زرشک و بادمجان به همراه یک تکه مرغ ران یا سینه,176000 تومان ,0,False,
69,ef240f66-0625-495a-8760-858f2d4552ce,49d7679a-af4d-40e8-884e-e64493983345,ته چین با خورشت فسنجان گوشت,5 تکه ته چین برنج زعفرانی زرشک به همراه یک ظرف خورشت,193000 تومان ,0,False,
70,38407397-a0d2-44de-8347-8df3e45c72fa,49d7679a-af4d-40e8-884e-e64493983345,ته چین با کباب مخصوص سیدجلال,5 تکه ته چین برنج زعفرانی زرشک 1 سیخ فیله گوساله 1 سیخ کوبیده گوجه فلفل سیب زمینی,374000 تومان ,0,False,
71,6df9db7d-84d1-4f87-9ec3-8fdfbbc6024e,49d7679a-af4d-40e8-884e-e64493983345,ته چین با خورشت قورمه سبزی,5 تکه ته چین برنج زعفرانی زرشک به همراه یک ظرف خورشت,160000 تومان ,0,False,
72,192a6b96-382f-42eb-a116-9f072cb001d5,49d7679a-af4d-40e8-884e-e64493983345,ته چین با جوجه با استخوان 700گرمی,5تکه ته چین به همراه 700گرم جوجه با استخوان و گوجه و فلفل و مقداری سیب زمینی,247000 تومان ,0,False,
73,9ae1f739-5380-4211-aae4-b5c8ecf3b24f,49d7679a-af4d-40e8-884e-e64493983345,ته چین با خورشت قیمه بادمجان,5 تکه ته چین برنج زعفرانی زرشک به همراه یک ظرف خورشت,160000 تومان ,0,False,
74,bdb469f8-bd34-4459-bc41-d65bc9f43547,49d7679a-af4d-40e8-884e-e64493983345,ته چین با خورشت قیمه سیب زمینی,5 تکه ته چین برنج زعفرانی زرشک به همراه یک ظرف خورشت,160000 تومان ,0,False,
75,5ca0825a-1f5a-428a-b4fe-f00990152626,49d7679a-af4d-40e8-884e-e64493983345,ته چین با جوجه سینه 300گرمی,5 تکه ته چین به همراه 300 گرم جوجه سینه گوجه فلفل و مقداری سیب زمینی,220000 تومان ,0,False,
76,4ffff536-adfe-46a5-a3f7-fa576515dcaa,49d7679a-af4d-40e8-884e-e64493983345,ته چین با کباب لقمه مخصوص,یک پرس ته چین با یک سیخ کباب لقمه مخصوص 300 گرمی,233000 تومان ,0,False,
77,2bd3f8fa-e9d7-47c8-9871-080d16a51b27,e62e30fa-be15-4f92-958c-ff0a1737fa1d,لوبیا پلو با گوشت تکه ای,400 گرم برنج تهدیگ,130000 تومان ,0,False,
78,f1758b5e-e9f8-429a-b319-2d182e63e82b,e62e30fa-be15-4f92-958c-ff0a1737fa1d,چلو ماهی قزل آلا کامل,400 گرم برنج یک ماهی کامل تهدیگ,150000 تومان ,0,False,
79,194fe18a-8aed-4c2a-abe2-2d448bee8967,e62e30fa-be15-4f92-958c-ff0a1737fa1d,چلو ماهیچه گوسفندی (500گرمی),400 گرم برنج 500 گرم ماهیچه ته دیگ,340000 تومان ,0,False,
80,f5a0de93-931b-4164-8bae-2e683e17830c,e62e30fa-be15-4f92-958c-ff0a1737fa1d,عدس پلو با گوشت و کشمش,400 گرم برنج 200گرم گوشت چرخکرده و کشمش,130000 تومان ,0,False,
81,5838db97-dd4b-4ef4-ae2a-3c4c9636da6c,e62e30fa-be15-4f92-958c-ff0a1737fa1d,زرشک پلو با مرغ تازه,400 گرم برنج و 450 گرم مرغ ته دیگ,138000 تومان ,0,False,
82,268c955a-c845-4d0b-94f1-50fc55e79de0,e62e30fa-be15-4f92-958c-ff0a1737fa1d,باقالی پلو با ماهیچه,400 گرم باقالی پلو 500 گرم ماهیچه  ته دیگ,340000 تومان ,0,False,
83,4ac659f3-f44d-48d7-a26f-5596bd708c17,e62e30fa-be15-4f92-958c-ff0a1737fa1d,چلو کدو و مرغ,400 گرم برنج 450 گرم مرغ زرشک کدو تهدیگ,143000 تومان ,0,False,
84,0acadc7d-9e5f-4767-afea-6e54ef56a22f,e62e30fa-be15-4f92-958c-ff0a1737fa1d,باقالی پلو با مرغ,400 گرم باقالی پلو  450 گرم مرغ ته دیگ,149000 تومان ,0,False,
85,731ecc5a-f7a8-478a-81f3-7bfd390e7427,e62e30fa-be15-4f92-958c-ff0a1737fa1d,سبزی پلو,400 گرم سبزی پلو,60000 تومان ,0,False,
86,152e44a1-3885-4e5f-ba2e-94153893d1d1,e62e30fa-be15-4f92-958c-ff0a1737fa1d,چلو گردن مخصوص,400 گرم برنج 500 گرم گردن ته دیگ,330000 تومان ,0,False,
87,92ff380d-532f-4856-9cf5-9900fe25b09f,e62e30fa-be15-4f92-958c-ff0a1737fa1d,چلو کره,400 گرم برنج   کره و ته دیگ,55000 تومان ,0,False,
88,08d0d94c-3cec-4b05-9bdf-a6631f29f2ea,e62e30fa-be15-4f92-958c-ff0a1737fa1d,چلو مرغ و بادمجان,400 گرم برنج 450 گرم مرغ بادمجان زرشک تهدیگ,143000 تومان ,0,False,
89,a5af7ec9-90ff-4e51-8576-a7ee0a372d03,e62e30fa-be15-4f92-958c-ff0a1737fa1d,سبزی پلو با ماهی قزل آلا,400 گرم برنج 1 عدد ماهی کامل تهدیگ,150000 تومان ,0,False,
90,205feafb-d996-4a6f-8244-b8bc375f7f0c,e62e30fa-be15-4f92-958c-ff0a1737fa1d,باقالی پلو,400 گرم باقالی پلو,60000 تومان ,0,False,
91,9286f9c0-3d54-4dad-ba36-de30b3fb3a3c,e62e30fa-be15-4f92-958c-ff0a1737fa1d,باقالی پلو گردن گوسفندی,400 گرم برنج گردن 500 گرمی گوسفندی تهدیگ,330000 تومان ,0,False,
92,e6fe9382-7c0f-42c9-8a23-41d9f2679ee4,e6ea5afe-fec2-4bd2-b2d1-6de79a456cc5,ته چین اضافه تکه ای,یک تکه ته چین اضافه,24000 تومان ,0,False,
93,fd9920b0-b60d-4e12-9507-42256b98cdd1,e6ea5afe-fec2-4bd2-b2d1-6de79a456cc5,سس قارچ اضافه,یک ظرف سس قارچ اضافه,35000 تومان ,0,False,
94,fff4b32e-e229-4bf1-92c9-4f8df30ed6d1,e6ea5afe-fec2-4bd2-b2d1-6de79a456cc5,بادمجان سرخ شده یک پرس,یک ظرف بادمجان سرخ شده,28000 تومان ,0,False,
